,_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
311857,330348,3378588,23024136.0,8,2023-02-16T09:44:00,"Semple St & Ward ST Pittsburgh, PA 15213",Y,Central Oakland,4,ARSON (OTHER),3301 Arson ,406.0,3.0,3.0,-79.95419771974413,40.43641731367751
311864,330355,3378598,23024137.0,3,2023-02-15T13:30:00,"Waterfront PL & 15th ST Pittsburgh, PA 15222",N,Strip District,2,ROBBERY/HIGHWAY/STRONGARM,"3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3921(a) Theft by Unlawful Taking or Disposition - Movable item",203.0,7.0,6.0,-79.99011909472438,40.44938748916191
311865,330356,3378599,23026107.0,10,2023-02-20T09:40:00,"2300 Block Centre AV Pittsburgh, PA 15219",N,Middle Hill,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,501.0,6.0,3.0,-79.97395013745646,40.445206325264245
311875,330366,3378610,23026123.0,4,2023-02-20T10:30:00,"200 Block Voeghtly ST Pittsburgh, PA 15212",Y,North Shore,1,AGG ASSAULT/VEHICLE/NO INJURY,907 Possessing Instruments of Crime. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3362 Maximum Speed Limits. / 3736 Reckless Driving,2205.0,,,,
311880,330371,3378621,23026160.0,10,2023-02-19T16:00:00,"900 Block Proctor WY Pittsburgh, PA 15210",N,Allentown,3,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1803.0,3.0,5.0,-79.99122237396048,40.42046138276731
311886,330377,3378630,23026184.0,4,2023-02-15T23:00:00,"Boston ST Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,AGG ASSAULT/GUN/NO INJURY,"2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 2902 Unlawful Restraint. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2715.0,1.0,1.0,-80.03574866228549,40.46946906047875
311893,330384,3378650,23024171.0,24,2023-02-16T09:35:00,"2800 Block Beechwood BL Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT BY COMUN/ADDRESS,2709 Harassment (Non-Specific),1414.0,5.0,3.0,-79.92037176528027,40.42483329509214
311895,330386,3378653,23024174.0,24,2023-02-09T17:30:00,"400 Block Grant ST Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT BY COMUN/ADDRESS,2709(a)(4) Harassment Communicates Prohibited Acts,201.0,6.0,6.0,-79.99749861293125,40.43837909485443
311901,330392,3378659,23024177.0,10,2023-02-16T07:20:00,"100 Block Bakery Square BL Pittsburgh, PA 15206",N,Larimer,5,HARRASSMENT/THREAT/ATTEMPT/PHY,2709 Harassment (Non-Specific),1208.0,9.0,2.0,-79.91538909932632,40.456123401954606
311906,330397,3378665,23024200.0,24,2023-02-15T16:00:00,"1200 Block Chartiers AV Pittsburgh, PA 15220",N,Crafton Heights,6,HARRASSMENT BY COMUN/ADDRESS,2709(a)(4) Harassment Communicates Prohibited Acts,2814.0,2.0,5.0,-80.04346807543722,40.44576312427792
311911,330402,3378672,23023521.0,10,2023-02-14T09:01:00,"800 Block ROCKLAND AV PITTSBURGH, PA 15216",Y,Beechview,6,TERRORISTIC THREATS,2706 Terroristic Threats.,1916.0,,,,
311914,330405,3378675,23023608.0,10,2023-02-15T09:00:00,"800 Block MCLAIN ST PITTSBURGH, PA 15210",Y,Allentown,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1803.0,,,,
311919,330410,3378680,23024260.0,10,2023-02-16T12:00:00,"1100 Block N MURTLAND ST PITTSBURGH, PA 15208",N,Homewood West,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1207.0,9.0,2.0,-79.90037203386882,40.46038461103399
311924,330415,3378686,23026197.0,10,2023-02-20T11:13:00,"100 Block THACKERAY ST PITTSBURGH, PA 15213",Y,North Oakland,4,SIMPLE ASSAULT/NO INJURY,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent,403.0,8.0,3.0,-79.95658869131384,40.44318561851164
311931,330422,3378695,23026198.0,10,2023-02-20T11:40:00,"Fort Duquesne Brg RAMP & 10th St BYP Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,201.0,,,,
311948,330439,3378715,23024273.0,24,2023-02-15T16:00:00,"1100 Block Brownsville   (shop & save) RD Pittsburgh, PA 15210",Y,Carrick,3,HARRASSMENT BY COMUN/ADDRESS,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,2902.0,,,,
311955,330446,3378726,23024300.0,10,2023-02-16T15:05:00,"Thomas BL & N Dallas AV Pittsburgh, PA 15208",N,Point Breeze North,4,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1405.0,9.0,2.0,-79.9069363061892,40.453229387280615
311958,330449,3378730,23026887.0,10,2023-02-21T16:28:00,"6100 Block Broad ST Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115.0,9.0,2.0,-79.92305841345915,40.4620085814283
311961,330452,3378735,23024307.0,10,2023-02-16T15:30:00,"6600 Block Deary ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,TERRORISTIC THREATS,2701 Simple Assault. / 2706 Terroristic Threats. / 4952 Intimidation of Witnesses or Victims / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1203.0,9.0,2.0,-79.90387610264754,40.46593488774206
311962,330453,3378739,23026913.0,24,2023-02-21T17:58:00,"100 Block Station Square DR Pittsburgh, PA 15203",Y,South Shore,3,HARRASSMENT BY COMUN/ADDRESS,2709(a)(3) Harassment No Legitimate Purpose / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,1921.0,2.0,5.0,-80.00364780244968,40.43339608462265
311965,330456,3378745,23024320.0,3,2023-02-16T13:40:00,"7700 Block Bennett ST Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/RESIDENCE/GUN,3502 Burglary. / 3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1304.0,9.0,2.0,-79.88843010439034,40.454590032059485
311988,330479,3378781,23024336.0,26,2023-02-16T15:00:00,"2800 Block N Charles ST Pittsburgh, PA 15214",Y,Perry South,1,HARRASSMENT-OTHER,2709 Harassment (Non-Specific),2615.0,6.0,1.0,-80.01374619493716,40.46985399468534
311990,330481,3378783,23024340.0,10,2023-02-16T15:47:00,"Brookline BL & Stebbins AV Pittsburgh, PA 15226",N,Brookline,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1918.0,4.0,5.0,-80.01907308905766,40.39308246001691
311993,330484,3378787,23024342.0,10,2023-02-16T16:22:00,"2200 Block East Hills DR Pittsburgh, PA 15221",Y,East Hills,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1306.0,9.0,2.0,-79.87309251906457,40.45390419790739
312005,330496,3378825,23024951.0,4,2023-02-16T21:15:00,"900 Block Manton WY Pittsburgh, PA 15210",N,Allentown,3,AGG ASSAULT/GUN/NO INJURY,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1803.0,,,,
312015,330506,3378843,23024998.0,10,2023-02-17T21:12:00,"1300 Block Chicago ST Pittsburgh, PA 15214",Y,Northview Heights,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment. / 3304 Criminal Mischief.,2609.0,1.0,1.0,-80.0018064639388,40.47804608016053
312023,330514,3378855,23025024.0,10,2023-02-17T22:19:00,"800 Block Reunion PL Pittsburgh, PA 15219",N,Bedford Dwellings,2,SIMPLE ASSAULT/NO INJURY,2701 Simple Assault.,509.0,,,,
312027,330518,3378859,23025042.0,10,2023-02-17T23:45:00,"2500 Block Penn AV Pittsburgh, PA 15222",Y,Strip District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,203.0,7.0,6.0,-79.97982267570714,40.453952793733805
312031,330547,3378901,23024534.0,10,2023-02-15T12:00:00,"1100 Block Liberty AV Pittsburgh, PA 15222",N,Central Business District,2,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201.0,7.0,6.0,-79.9923774443368,40.44416294450934
312043,330559,3378920,23026260.0,4,2023-02-20T15:17:00,"1700 Block Belleau DR Pittsburgh, PA 15212",Y,Fineview,1,AGG ASSAULT/OTHER/INJURY,907 Possessing Instruments of Crime. / 2701 Simple Assault. / 2702 Aggravated Assault.,2509.0,6.0,1.0,-80.00698339373714,40.46031055249301
312050,330566,3378927,23026296.0,24,2023-02-20T16:21:00,Bedford AV,Y,Middle Hill,2,HARRASSMENT BY COMUN/ADDRESS,2709(a)(3) Harassment No Legitimate Purpose,501.0,,,,
312053,330569,3378930,23026304.0,26,2023-02-20T16:34:00,"200 Block Federal ST Pittsburgh, PA 15212",N,Brighton Heights,1,HARRASSMENT-OTHER,2709(a) Harassment.,2701.0,1.0,6.0,-80.00396354178193,40.448421310220375
312054,330570,3378931,23024572.0,10,2023-02-17T02:55:00,"3400 Block Clearfield ST Pittsburgh, PA 15204",Y,Windgap,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 13(a)(31) Marijuana: Possession Small Amount,2807.0,2.0,5.0,-80.07129860325593,40.45180627551091
312057,330573,3378936,23024581.0,3,2023-02-16T21:00:00,"4900 Block Penn AV Pittsburgh, PA 15224",N,Bloomfield,5,ROBBERY/HIGHWAY/OTHER,3701 Robbery.,809.0,7.0,2.0,-79.94487038745008,40.46495402638104
312068,330584,3378954,23026327.0,10,2023-02-20T17:03:00,"300 Block N Craig ST Pittsburgh, PA 15213",Y,North Oakland,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment. / 3304 Criminal Mischief.,507.0,8.0,3.0,-79.94909181481687,40.44557451437198
312075,330591,3378963,23024640.0,26,2023-02-14T18:00:00,"2400 Block Charcot ST Pittsburgh, PA 15210",Y,Arlington,3,HARRASSMENT-OTHER,2709(a) Harassment.,1603.0,3.0,3.0,-79.97295148827712,40.41698374064027
312080,330596,3378971,23027730.0,10,2023-02-03T12:00:00,"700 Block S LINDEN AV PITTSBURGH, PA 15208",N,Point Breeze,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1404.0,,,-79.83555646670547,40.39956346628305
312091,330607,3378988,23024688.0,10,2023-02-17T10:20:00,"900 Block Woodbine ST Pittsburgh, PA 15201",Y,Stanton Heights,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1005.0,9.0,2.0,-79.94374382696802,40.47923769247399
312092,330608,3378989,23024691.0,26,2023-02-17T10:28:00,"5400 Block Centre AV Pittsburgh, PA 15232",Y,Shadyside,4,HARRASSMENT-OTHER,2709(a) Harassment.,709.0,8.0,2.0,-79.9382420900613,40.45582659885799
312093,330609,3378990,23024692.0,10,2023-02-16T16:20:00,"Wilkins AV & Shady AV Pittsburgh, PA 15217",N,Squirrel Hill North,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709 Harassment (Non-Specific),1402.0,8.0,3.0,-79.92051560411306,40.44385905055744
312094,330610,3378991,23024694.0,10,2023-02-17T10:25:00,"4400 Block Forbes AV Pittsburgh, PA 15213",Y,North Oakland,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",404.0,8.0,3.0,-79.94910207307791,40.443706452999535
312101,330617,3379000,23024718.0,10,2023-02-17T11:30:00,"100 Block Knox AV Pittsburgh, PA 15210",Y,Knoxville,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3001.0,3.0,5.0,-79.99058775445346,40.41557250289156
312102,330618,3379002,23024728.0,10,2023-02-17T11:55:00,"2800 Block Bedford AV Pittsburgh, PA 15219",N,Bedford Dwellings,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",509.0,6.0,3.0,-79.96942376102801,40.45201115525266
312114,330648,3379036,23026356.0,26,2023-02-20T17:52:00,"900 Block Lincoln AV Pittsburgh, PA 15206",Y,Homewood West,5,HARRASSMENT-OTHER,2709(a) Harassment.,1207.0,9.0,2.0,-79.90292108338079,40.46352015289293
312125,330659,3379051,23026423.0,10,2023-02-20T20:03:00,"200 Block Mountain AV Pittsburgh, PA 15210",Y,Arlington,3,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1603.0,3.0,3.0,-79.978352942784,40.41614540150033
312126,330660,3379053,23026433.0,10,2023-02-20T20:30:00,"700 Block W North AV Pittsburgh, PA 15212",Y,Central Northside,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2701 Simple Assault. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2206.0,1.0,1.0,-80.0136643232371,40.45416107841037
312157,330720,3379121,23025259.0,10,2023-02-18T13:00:00,"1600 Block Alverado AV Pittsburgh, PA 15216",Y,Beechview,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 3304 Criminal Mischief.,1916.0,4.0,5.0,-80.02851105332202,40.410337662268006
312167,330730,3379134,23025307.0,24,2023-02-18T15:45:00,"1900 Block Broadway AV Pittsburgh, PA 15216",N,Beechview,6,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,1920.0,4.0,5.0,-80.02723402185077,40.407219033092176
312178,330741,3379152,23024843.0,24,2023-02-17T16:00:00,"5100 Block Westminster PL Pittsburgh, PA 15232",Y,Shadyside,4,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,703.0,8.0,2.0,-79.93929827254938,40.44857175888082
312190,330753,3379171,23024900.0,10,2023-02-17T17:05:00,"1100 Block Langtry ST Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,TERRORISTIC THREATS,"2701 Simple Assault. / 2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2715.0,1.0,1.0,-80.02819009845537,40.477429563660486
312192,330755,3379174,23025368.0,10,2023-02-18T17:58:00,"600 Block Smithfield ST Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,201.0,6.0,6.0,-79.99740883167522,40.44153322225253
312201,330764,3379194,23025425.0,10,2023-02-18T20:30:00,"Stanhope ST & W Carson ST Pittsburgh, PA 15204",Y,Esplen,6,HARRASSMENT/THREAT/ATTEMPT/PHY,907 Possessing Instruments of Crime. / 2709(a) Harassment. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2017.0,2.0,5.0,-80.05317711043087,40.46443661595834
312202,330775,3379197,23025661.0,10,2023-02-19T10:38:00,"300 Block Boggs AV Pittsburgh, PA 15211",Y,Mount Washington,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1914.0,2.0,5.0,-80.00853788491793,40.4256613386411
312206,330779,3379202,23025687.0,24,2023-01-09T03:17:00,"5100 Block Kincaid ST Pittsburgh, PA 15224",N,Garfield,5,HARRASSMENT BY COMUN/ADDRESS,2709(a)(4) Harassment Communicates Prohibited Acts,1017.0,9.0,2.0,-79.94231910238983,40.46720353225624
312209,330782,3379205,23025712.0,26,2023-02-19T12:55:00,"6800 Block 5th AV Pittsburgh, PA 15208",Y,Homewood West,5,HARRASSMENT-OTHER,2709(a) Harassment.,1207.0,,,,
312213,330786,3379210,23025751.0,10,2023-02-19T13:09:00,"1500 Block Brighton RD Pittsburgh, PA 15212",N,California-Kirkbride,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2507.0,6.0,1.0,-80.01656850562077,40.45687440924445
312217,330790,3379217,23025775.0,10,2023-02-19T15:57:00,"800 Block Greenfield AV Pittsburgh, PA 15217",Y,Greenfield,4,INTIMIDATION  WITNESS/VICTIMS,2709(b) Stalking / 2709(a)(4) Harassment Communicates Prohibited Acts,1517.0,5.0,3.0,-79.93546231398506,40.42420641465951
312228,330801,3379247,23025074.0,4,2023-02-18T01:50:00,"700 Block Brookline BL Pittsburgh, PA 15226",Y,Brookline,6,AGG ASSAULT/OTHER/INJURY,2702 Aggravated Assault. / 2706 Terroristic Threats.,1918.0,4.0,5.0,-80.02169562687736,40.39459113465609
312230,330803,3379253,23028427.0,10,2023-02-24T07:00:00,"4800 Block STANTON AV PITTSBURGH, PA 15201",N,Stanton Heights,5,SIMPLE ASSAULT/INJURY,2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,1018.0,9.0,2.0,-79.93470423862931,40.48034746593591
312234,330807,3379257,23028542.0,10,2023-02-24T15:00:00,"1100 Block N MURTLAND ST PITTSBURGH, PA 15208",N,Homewood West,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1207.0,9.0,2.0,-79.90037203386882,40.46038461103399
312235,330808,3379258,23030471.0,10,2023-02-28T14:30:00,"2900 Block CHARTIERS AV PITTSBURGH, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT/INJURY,2702 Aggravated Assault.,2022.0,2.0,5.0,-80.05634795723803,40.45395541297837
312242,330815,3379266,23025087.0,10,2023-02-18T02:45:00,"50 Block 11th ST Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,201.0,3.0,3.0,-79.98767553769906,40.42896749627302
312244,330817,3379270,23025088.0,10,2023-02-18T02:40:00,"5500 Block Walnut ST Pittsburgh, PA 15232",Y,Shadyside,4,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",703.0,8.0,2.0,-79.93365937797103,40.45104438715192
312249,330822,3379275,23025113.0,10,2023-02-18T04:55:00,"2100 Block Sarah ST Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1609.0,3.0,3.0,-79.97612293238265,40.42743055806026
312252,330825,3379281,23025472.0,10,2023-02-18T23:00:00,"2900 Block Devlin ST Pittsburgh, PA 15210",Y,Arlington,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1603.0,3.0,3.0,-79.96760940810218,40.41484457964609
312253,330826,3379282,23025126.0,26,2023-02-18T07:00:00,"1400 Block Oberlin ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,HARRASSMENT-OTHER,2709(a) Harassment.,1202.0,9.0,2.0,-79.89001834478368,40.46373501351635
312256,330829,3379287,23025129.0,24,2023-02-18T07:00:00,"300 Block N Braddock AV Pittsburgh, PA 15208",Y,Point Breeze North,4,HARRASSMENT BY COMUN/ADDRESS,2709(a)(4) Harassment Communicates Prohibited Acts,1405.0,9.0,2.0,-79.89280139717684,40.44965463311932
312258,330831,3379289,23025135.0,10,2023-02-18T07:43:00,"3100 Block Frederick ST Pittsburgh, PA 15212",N,Marshall-Shadeland,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2715.0,1.0,1.0,-80.03083397757969,40.47335593521704
312275,330848,3379312,23025169.0,26,2023-02-18T09:40:00,"3300 Block Allendale ST Pittsburgh, PA 15204",Y,Sheraden,6,HARRASSMENT-OTHER,2709(a)(3) Harassment No Legitimate Purpose,2022.0,2.0,5.0,-80.06221491429662,40.45674154895515
312281,330854,3379322,23025517.0,3,2023-02-19T01:10:00,"French ST & 9th ST Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY/HIGHWAY/STRONGARM,2701 Simple Assault. / 3701 Robbery.,201.0,6.0,6.0,-79.99858721172062,40.44426991961413
312282,330855,3379323,23025520.0,4,2023-02-19T01:01:00,"1900 Block Lowrie ST Pittsburgh, PA 15212",N,Troy Hill,1,AGG ASSAULT/GUN/NO INJURY,9011 Gun Related / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2406.0,1.0,1.0,-79.98105978102437,40.4659275099501
312284,330857,3379332,23032143.0,10,2023-02-10T10:00:00,"1100 Block N MURTLAND ST PITTSBURGH, PA 15208",N,Homewood West,5,SIMPLE ASSAULT/NO INJURY,2702 Aggravated Assault.,1207.0,9.0,2.0,-79.90037203386882,40.46038461103399
312312,330885,3379369,23025880.0,10,2023-02-19T20:07:00,"1200 Block Oakmont ST Pittsburgh, PA 15205",Y,Crafton Heights,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2815.0,,,,
312326,330899,3379388,23026510.0,4,2023-02-21T01:19:00,"2500 Block Chauncey DR Pittsburgh, PA 15219",N,Bedford Dwellings,2,AGG ASSAULT/STRONGARM/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,509.0,6.0,3.0,-79.97383970648434,40.45098330417301
312335,330908,3379400,23028523.0,26,2023-02-24T16:06:00,"600 Block Penn AV Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT-OTHER,2709(a) Harassment.,201.0,6.0,6.0,-80.00179283219113,40.44259291720811
312338,330911,3379405,23028531.0,10,2023-02-23T20:00:00,"3100 Block Cordell PL Pittsburgh, PA 15203",Y,Arlington Heights,3,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",1604.0,3.0,3.0,-79.96345297671687,40.41771717125802
312340,330913,3379410,23028543.0,17,2023-02-24T12:00:00,Zone 6,N,,6,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
312354,330927,3379435,23028614.0,24,2023-02-24T17:30:00,"4700 Block Interboro AV Pittsburgh, PA 15207",Y,Lincoln Place,4,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,3102.0,5.0,3.0,-79.90936727558716,40.37688311885214
312372,330945,3379469,23026774.0,17,2023-02-19T03:15:00,Zone 3,N,,3,INDECENT ASSAULT,3126(a)(1) Indecent assault without consent,,,,,
312398,330971,3379520,23026733.0,24,2023-02-21T12:31:00,"1800 Block Marmaduke ST Pittsburgh, PA 15212",Y,Brighton Heights,1,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,2701.0,1.0,1.0,-80.04195105353402,40.48358018543816
312400,330973,3379523,23027267.0,24,2023-02-22T12:30:00,"90 Block S.22nd. ST Pittsburgh, PA 15203",Y,Central Business District,3,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,201.0,3.0,3.0,-79.97465547310841,40.428394030366526
312425,330998,3379562,23027372.0,10,2023-02-22T16:11:00,"500 Block Liberty AV Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2701 Simple Assault. / 2706 Terroristic Threats. / 2709(a) Harassment. / 5503 Disorderly Conduct.,201.0,6.0,6.0,-80.00363302297093,40.44129186010931
312426,330999,3379563,23027373.0,10,2023-02-22T16:15:00,"3600 Block Forbes AV Pittsburgh, PA 15213",Y,Central Oakland,4,SIMPLE ASSAULT/NO INJURY,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,405.0,3.0,3.0,-79.95744380996236,40.44027243912023
312459,331032,3379631,23027582.0,10,2023-02-23T02:00:00,"700 Block Grant ST Pittsburgh, PA 15219",N,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-79.99453189611465,40.44227416048363
312464,331037,3379640,23027590.0,17,2023-02-23T02:46:00,Zone 1,N,,1,INVOLUNTARY DEV SEXUAL INTER,"3133(c)(2) Disseminates, or threatens to disseminate an image, video, or demands payment not to.",,,,,
312470,331043,3379650,23026829.0,10,2023-02-21T15:50:00,"1100 Block Chislett ST Pittsburgh, PA 15206",N,Morningside,5,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1014.0,7.0,2.0,-79.92949057915322,40.47706455165042
312475,331048,3379656,23026838.0,3,2023-02-21T15:35:00,"Bigelow BL & Herron AV Pittsburgh, PA 15219",N,Polish Hill,2,ROBBERY/CARJACK/GUN,3701 Robbery.,605.0,7.0,6.0,-79.9659415888294,40.45574331698728
312480,331053,3379663,23027176.0,10,2023-02-22T08:30:00,"500 Block Larimer AV Pittsburgh, PA 15206",N,Larimer,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1204.0,9.0,2.0,-79.91448420361156,40.46529927090327
312481,331054,3379664,23027641.0,4,2023-02-23T08:00:00,"Knox AV & Rochelle ST Pittsburgh, OH 15210",N,Knoxville,3,AGG ASSAULT/GUN/NO INJURY,2702 Aggravated Assault.,3001.0,3.0,5.0,-79.99055474410847,40.415115666286376
312485,331058,3379672,23026868.0,24,2023-02-21T16:17:00,"5000 Block Butler ST Pittsburgh, PA 15201",Y,Central Lawrenceville,2,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,901.0,7.0,2.0,-79.95607974053438,40.47793749414275
312493,331066,3379685,23025605.0,3,2023-02-19T07:05:00,"3000 Block Arlington AV Pittsburgh, PA 15210",N,Arlington Heights,3,ROBBERY/RESIDENCE/STRONGARM,3304 Criminal Mischief. / 3701 Robbery.,1604.0,,,,
312498,331071,3379705,23025612.0,10,2023-02-19T08:30:00,"Forbes AV & Shady AV Pittsburgh, PA 15217",Y,Squirrel Hill North,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2706 Terroristic Threats. / 2709(a) Harassment. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1403.0,5.0,3.0,-79.91936287333799,40.43804856242477
312503,331076,3379711,23025645.0,24,2023-02-20T08:00:00,"4100 Block Evergreen RD Pittsburgh, PA 15214",Y,Summer Hill,1,HARRASSMENT BY COMUN/ADDRESS,2709(a) Harassment.,2612.0,,,,
312506,331079,3379717,23027667.0,8,2023-02-20T08:20:00,"5100 Block Gloster ST Pittsburgh, PA 15207",Y,Hazelwood,4,ARSON (COMMUNITY/PUB-NOT OCCU),3301 Arson ,1501.0,,,,
312513,331086,3379727,23027076.0,10,2023-02-22T01:17:00,"300 Block Parallel AV Pittsburgh, PA 15210",Y,Carrick,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(b) Stalking,2902.0,4.0,3.0,-79.98221122085182,40.40274186775401
